,Word,Pron,Log_Freq_HAL,Log_Freq_SUBTLEX,aoa
230,bile,b?l,7.39,1.61,11.67
231,bilge,bIl?,5.78,1.76,12.53
232,bilk,bIlk,4.68,0.78,13.88
233,bilked,bIlkt,3.56,0.9,13.88
234,bill,bIl,11.67,3.78,6.42
235,Bill's,bIlz,7.51,,NaN
236,billed,bIld,7.58,1.57,6.42
237,bills,bIlz,9.25,3.04,6.42
238,bin,bIn,9.67,2.44,4.68
239,bind,b?nd,8.82,2.24,10.24
240,binds,b?ndz,6.71,1.59,10.24
241,bing,bI?,6.49,2.37,NaN
242,binge,bIn?,5.67,1.68,15.22
243,bins,bInz,6.57,1.6,4.68
244,birch,b??,7.22,1.9,10.84
245,bird,b?d,9.86,3.37,3.52
246,bird's,b?dz,6.39,,NaN
247,birds,b?dz,9.58,3.12,3.52
248,birth,b?��,10.06,3.15,5.21
249,birthed,b?��t,4.09,1.11,5.21
250,births,b?��s,6.96,1.48,5.21
251,bisque,bIsk,4.7,1.32,14.0
252,bit,bIt,11.98,4.08,6.47
253,bitch,bI?,9.15,3.94,10.11
254,bite,b?t,9.01,3.32,3.58
255,bites,b?ts,7.97,2.45,3.58
256,bits,bIts,10.08,2.74,6.47
257,biz,bIz,8.29,1.98,9.93
258,blab,bl?b,4.69,1.48,7.95
259,blabbed,bl?bd,3.5,1.11,7.95
260,black,bl?k,11.99,3.93,3.56
261,black's,bl?ks,6.49,,NaN
262,blacked,bl?kt,6.11,2.05,3.56
263,blacks,bl?ks,9.28,2.23,3.56
264,blade,bled,9.17,2.82,6.72
265,blades,bledz,8.37,2.22,6.72
266,blah,bl��,9.46,2.84,8.98
267,blame,blem,9.76,3.48,6.48
268,blamed,blemd,7.93,2.46,6.48
269,blanch,bl?n?,4.52,1.15,13.12
270,bland,bl?nd,7.43,1.75,8.35
271,blank,bl??k,9.63,2.7,6.05
272,blanks,bl??ks,7.83,2.16,6.05
273,blare,bl?r,3.87,1.32,10.22
274,blared,bl?rd,4.23,0.3,10.22
275,blast,bl?st,9.85,2.92,7.06
276,blasts,bl?sts,7.28,1.68,7.06
277,blaze,blez,8.43,2.03,7.47
278,blazed,blezd,5.12,1.26,7.47
279,bleach,bl!?,7.18,2.08,8.0
280,bleached,bl!?t,5.52,1.7,NaN
281,bleak,bl!k,6.58,1.75,10.94
282,bleat,bl!t,4.85,0.85,12.92
283,bleats,bl!ts,3.83,0.7,12.92
284,bled,bl?d,6.27,2.31,4.28
285,bleed,bl!d,7.83,2.71,4.28
286,bleeds,bl!dz,6.25,1.88,4.28
287,bleep,bl!p,4.85,2.14,9.47
288,bleeps,bl!ps,3.97,1.54,9.47
289,blend,bl?nd,8.09,2.34,10.17
290,blends,bl?ndz,6.49,1.18,10.17
291,blent,bl?nt,,,NaN
292,bless,bl?s,8.28,3.25,5.33
293,blest,bl?st,3.4,0.78,5.33
294,blew,blu,8.58,3.21,4.0
295,blight,bl?t,7.59,1.48,11.73
296,blimp,blImp,5.76,1.73,6.63
297,blind,bl?nd,9.51,3.37,7.0
298,blinds,bl?ndz,6.55,2.04,7.0
299,blink,blI?k,7.63,2.41,5.63
300,blinked,blI?kt,6.33,1.82,5.63
301,blip,blIp,5.78,1.62,11.31
302,blips,blIps,4.63,0.78,11.31
303,bliss,blIs,7.7,2.21,10.16
304,blithe,bl??,5.28,1.08,16.13
305,blitz,blIts,7.28,1.81,10.4
306,bloat,blot,6.34,1.43,11.56
307,blob,bl��b,7.06,1.79,6.16
308,block,bl��k,10.41,3.32,4.79
309,blocked,bl��kt,8.51,2.54,4.79
310,blocks,bl��ks,9.58,2.88,4.79
311,bloke,blok,6.79,2.38,13.88
312,blokes,bloks,5.25,1.87,13.88
313,blond,bl��nd,8.08,2.73,6.72
314,blonde,bl��nd,8.8,2.85,6.06
315,blonde's,bl��ndz,5.6,,NaN
316,blondes,bl��ndz,6.99,1.9,6.06
317,blood,bl?d,10.86,3.98,4.89
318,bloods,bl?dz,5.12,1.65,4.89
319,bloom,blum,8.24,2.45,6.84
320,bloomed,blumd,4.8,1.04,6.84
321,blooms,blumz,6.52,1.56,6.84
322,blot,bl��t,6.27,1.69,8.38
323,blotch,bl��?,4.32,1.04,9.28
324,blots,bl��ts,4.95,0.95,8.38
325,blouse,bl?s,7.43,2.44,6.65
326,blow,blo,9.74,3.7,4.0
327,blower,blo?,6.28,1.26,8.32
328,blowers,blo?z,5.4,1.04,8.32
329,blown,blon,8.66,2.91,4.0
330,blows,bloz,8.46,2.9,4.0
331,blue,blu,11.4,3.72,3.53
332,blues,bluz,9.44,2.72,9.81
333,bluff,bl?f,7.0,2.5,8.82
334,bluffs,bl?fs,5.56,1.38,8.82
335,blunt,bl?nt,7.45,2.4,11.05
336,blunts,bl?nts,4.2,1.28,11.05
337,blur,bl?,7.4,2.04,8.95
338,blurb,bl?b,7.44,1.15,11.56
339,blurred,bl?d,6.54,1.58,8.95
340,blush,bl?��,7.13,2.14,7.95
341,blushed,bl?��t,6.84,0.9,7.95
342,boa,bo?,6.66,1.83,9.56
343,boar,b?r,6.03,2.05,9.83
344,board,b?rd,11.28,3.51,6.37
345,board's,b?rdz,6.29,,NaN
346,boards,b?rdz,10.05,2.35,6.37
347,boast,bost,6.86,1.74,8.22
348,boasts,bosts,6.59,1.23,8.22
349,boat,bot,9.67,3.69,3.84
350,boat's,bots,4.38,,NaN
351,boats,bots,8.63,2.78,3.84
352,bob,b��b,11.07,3.67,6.16
353,Bob's,b��bz,7.65,,NaN
354,bobbed,b��bd,5.38,1.0,6.16
355,bock,b��k,6.85,1.32,NaN
356,bod,b��d,6.64,1.59,NaN
357,bode,bod,6.4,1.4,10.93
358,bodes,bodz,4.8,1.04,10.93
359,bog,b��g,8.74,1.7,9.37
360,bogged,b��gd,6.54,1.4,9.37
361,boil,b?l,8.25,2.48,6.6
362,boiled,b?ld,7.57,2.23,6.6
363,boils,b?lz,7.35,2.01,6.6
364,bold,bold,8.61,2.59,9.21
365,boll,bol,4.93,1.0,NaN
366,bolt,bolt,8.89,2.55,7.28
367,bolts,bolts,8.04,2.05,7.28
368,bomb,b��m,9.64,3.44,8.0
369,bombed,b��md,7.45,2.3,8.0
370,bombs,b��mz,8.73,2.86,8.0
371,bond,b��nd,9.47,3.2,10.21
372,bonds,b��ndz,8.96,2.53,10.21
373,bone,bon,9.68,3.12,5.53
374,bones,bonz,8.88,3.19,5.53
375,bong,b��?,7.2,2.16,14.16
376,boo,bu,7.34,2.78,3.78
377,boob,bub,6.21,2.19,8.16
378,book,b?k,12.16,3.96,3.68
379,book's,b?ks,6.75,,NaN
380,booked,b?kt,7.48,2.73,3.68
381,books,b?ks,11.62,3.54,3.68
382,boom,bum,8.36,3.05,5.56
383,boomed,bumd,5.06,0.3,5.56
384,boon,bun,7.73,2.04,12.94
385,boor,b?r,5.09,0.6,12.14
386,boors,b?rz,3.37,0.85,12.14
387,boos,buz,5.23,0.95,3.78
388,boost,bust,8.47,2.36,7.89
389,boosts,busts,5.77,1.08,7.89
390,boot,but,10.69,2.76,3.89
391,booth,bu��,8.4,3.02,7.16
392,booths,bu��s,6.71,1.76,7.16
393,boots,buts,9.28,2.99,4.86
394,booze,buz,6.87,2.75,10.42
395,bop,b��p,6.79,1.98,6.31
396,bore,b?r,8.19,2.6,8.91
397,bored,b?rd,8.86,3.01,6.25
398,bores,b?rz,5.59,1.62,8.91
399,born,b?rn,10.47,3.63,4.68
400,borne,b?rn,8.7,1.72,3.58
401,borscht,b?r��t,3.66,1.56,15.23
402,boss,b?s,9.21,3.8,6.16
403,bossed,b?st,3.33,0.85,6.16
404,botch,b��?,5.49,1.23,10.53
405,both,bo��,12.6,4.18,4.77
406,bough,b?,5.69,1.2,11.79
407,boughs,b?z,3.56,1.28,11.79
408,bought,b?t,10.95,3.64,5.56
409,bounce,b?ns,8.35,2.7,6.17
410,bounced,b?nst,8.15,2.18,6.17
411,bound,b?nd,9.45,2.97,9.0
412,bounds,b?ndz,7.97,2.06,9.0
413,bout,b?t,8.63,2.99,11.83
414,bouts,b?ts,6.26,1.43,11.83
415,bow,bo,8.92,3.01,4.95
416,bowed,bod,6.92,1.62,4.95
417,bowel,b??l,6.86,2.26,9.72
418,bowels,b??lz,6.64,1.94,9.78
419,bower,b?r,5.96,1.15,12.77
420,bowers,b?rz,7.04,1.79,NaN
421,bowl,bol,9.28,3.04,4.26
422,bowls,bolz,7.0,2.05,4.26
423,bows,b?z,7.1,1.95,4.95
424,box,b��ks,12.05,3.66,4.3
425,boxed,b��kst,8.17,1.83,4.3
426,boy,b?,10.66,4.43,3.67
427,boy's,b?z,7.95,,NaN
428,boys,b?z,10.08,4.06,3.67
429,bra,br��,8.22,2.75,8.21
430,brace,bres,7.26,2.51,7.89
431,braced,brest,5.59,1.18,7.89
432,Brad,br?d,9.43,3.19,NaN
433,brae,bre,4.82,0.7,11.89
434,brag,br?g,7.06,2.26,7.79
435,bragged,br?gd,5.55,1.49,7.79
436,Brahms,br��mz,7.62,1.6,NaN
437,braid,bred,6.22,1.69,7.22
438,braids,bredz,5.23,1.61,7.22
439,braille,brel,6.27,1.46,9.0
440,brain,bren,10.9,3.59,5.76
441,brain's,brenz,5.95,,NaN
442,brains,brenz,8.8,3.15,5.76
443,braise,brez,2.94,,13.61
444,brake,brek,8.72,2.49,5.95
445,brakes,breks,8.45,2.53,5.95
446,bran,br?n,6.39,1.83,9.95
447,branch,br?n?,9.51,2.71,5.11
448,branched,br?n?t,5.63,0.9,5.11
449,brand,br?nd,10.13,2.85,7.72
450,brands,br?ndz,8.56,1.72,7.72
451,brash,br?��,5.51,1.34,11.47
452,brass,br?s,9.4,2.79,9.05
453,brat,br?t,6.98,2.5,6.21
454,brave,brev,8.62,3.21,6.0
455,braved,brevd,4.37,1.15,6.0
456,braves,brevz,6.96,1.52,6.0
457,brawl,br?l,6.99,2.04,9.2
458,brawn,br?n,5.59,1.48,10.06
459,bray,bre,6.63,1.32,NaN
460,breach,br!?,7.86,2.5,11.72
461,bread,br?d,9.11,3.16,3.58
462,breadth,br?t��,6.99,1.36,11.38
463,break,brek,10.77,4.05,5.3
464,breaks,breks,9.29,2.98,5.3
465,breast,br?st,8.93,2.66,6.6
466,breasts,br?sts,9.23,2.8,8.03
467,breath,br?��,9.58,3.36,5.81
468,breathe,br!?,8.04,3.39,4.11
469,breathed,br!?d,7.03,1.86,4.11
470,breathes,br!?z,6.08,1.98,4.11
471,breaths,br?��s,6.39,2.2,5.81
472,bred,br?d,8.03,2.1,9.0
473,breech,br!?,6.25,1.56,11.79
474,breed,br!d,9.63,2.51,9.0
475,breed's,br!dz,5.38,,NaN
476,breeds,br!dz,8.61,1.74,9.0
477,breeze,br!z,7.66,2.61,6.22
478,Brett,br?t,9.03,2.47,NaN
479,brew,bru,8.0,2.11,9.06
480,brewed,brud,7.0,1.36,9.06
481,Brewer's,bru?z,5.48,,NaN
482,brewers,bru?z,7.11,0.78,11.01
483,Brian,br??n,10.7,3.26,NaN
484,briar,br?r,5.3,1.6,9.62
485,bribe,br?b,7.02,2.49,9.74
486,bribed,br?bd,5.48,2.0,9.74
487,bribes,br?bz,6.78,1.87,9.74
488,brick,brIk,8.29,2.72,6.43
489,bricks,brIks,7.43,2.3,6.43
490,bride,br?d,8.21,3.09,5.1
491,bride's,br?dz,5.86,,NaN
492,brides,br?dz,6.4,1.68,5.1
493,bridge,brI?,9.87,3.37,5.58
494,Brie,br!,4.89,1.67,NaN
495,brief,br!f,9.88,2.87,8.44
496,briefed,br!ft,6.32,2.0,8.44
497,briefs,br!fs,7.16,1.63,8.44
498,brig,brIg,6.61,2.19,12.82
499,bright,br?t,9.53,3.36,6.58
500,brim,brIm,5.98,1.66,10.68
501,brimmed,brImd,3.18,,NaN
502,brine,br?n,7.8,1.23,14.25
503,bring,brI?,10.94,4.22,4.42
504,brings,brI?z,9.44,3.25,4.42
505,brink,brI?k,7.16,2.11,10.47
506,brisk,brIsk,5.85,1.73,10.17
507,broach,bro?,5.44,1.38,10.72
508,broached,bro?t,4.8,1.15,10.72
509,broad,br?d,9.44,2.88,10.5
510,brogue,brog,3.26,0.95,10.44
511,broil,br?l,4.73,1.2,8.65
512,broiled,br?ld,5.16,1.15,8.65
513,broke,brok,9.55,3.73,5.3
514,bronc,br��?k,3.93,1.52,NaN
515,broncs,br��?ks,3.09,0.7,NaN
516,Bronx,br��?ks,7.04,2.51,NaN
517,bronze,br��nz,8.57,2.16,10.0
518,bronzed,br��nzd,4.08,1.26,10.0
519,brooch,bro?,4.19,1.83,10.71
520,brood,brud,6.54,1.75,10.47
521,broods,brudz,3.56,0.3,10.47
522,brook,br?k,7.93,2.02,8.42
523,brook's,br?ks,4.11,,NaN
524,brooked,br?kt,2.08,,NaN
525,brooks,br?ks,8.84,2.62,NaN
526,broom,brum,6.4,2.39,5.5
527,broth,br?��,6.64,1.66,9.0
528,brought,br?t,10.59,3.94,4.42
529,brow,br?,6.69,1.98,9.82
530,brown,br?n,10.65,3.49,4.2
531,brown's,br?nz,6.91,,NaN
532,brows,br?z,5.13,1.11,9.82
533,browse,br?z,8.86,1.49,9.89
534,Bruce,brus,10.16,3.04,NaN
535,bruise,bruz,6.12,2.22,5.45
536,bruised,bruzd,6.57,2.03,NaN
537,brunch,br?n?,5.85,2.28,8.68
538,brunt,br?nt,6.29,1.42,12.52
539,brush,br?��,8.65,2.86,3.78
540,brushed,br?��t,7.35,2.09,3.78
541,brusque,br?sk,4.16,0.7,14.77
542,brute,brut,7.94,2.21,10.85
543,buck,b?k,8.82,3.24,7.68
544,buck's,b?ks,4.64,,NaN
545,bucked,b?kt,6.07,1.23,7.68
546,bucks,b?ks,9.32,3.46,7.68
547,bud,b?d,8.57,3.26,7.01
548,budge,b??,6.23,2.02,9.25
549,buds,b?dz,7.14,1.96,7.01
550,buff,b?f,7.44,2.11,11.74
551,buffs,b?fs,6.76,0.9,11.74
552,bug,b?g,10.38,3.03,3.79
553,bugged,b?gd,6.71,2.12,3.79
554,bugs,b?gz,9.82,2.84,3.79
555,build,bIld,10.77,3.39,4.45
556,builds,bIldz,8.23,2.26,4.45
557,built,bIlt,10.59,3.32,4.45
558,bulb,b?lb,8.09,2.3,6.56
559,bulbs,b?lbz,7.66,1.94,6.56
560,bulge,b?l?,7.14,1.69,8.1
561,bulged,b?l?d,5.24,0.3,8.1
562,bulk,b?lk,8.86,1.99,10.21
563,bulked,b?lkt,3.22,0.6,10.21
564,bulks,b?lks,2.71,0.3,10.21
565,bull,b?l,9.02,3.15,4.53
566,bulls,b?lz,7.84,2.42,4.53
567,bum,b?m,7.44,2.9,8.11
568,bump,b?mp,7.89,2.8,4.35
569,bumped,b?mpt,7.66,2.49,4.35
570,bumps,b?mps,7.48,2.25,4.35
571,bums,b?mz,6.65,2.28,8.11
572,bun,b?n,6.79,2.17,5.79
573,bunch,b?n?,10.32,3.48,4.89
574,bunched,b?n?t,5.26,1.04,4.89
575,bunk,b??k,6.98,2.51,5.62
576,bunks,b??ks,5.03,1.75,5.62
577,buns,b?nz,6.92,2.29,5.79
578,bunt,b?nt,5.23,1.62,8.66
579,buoyant,b??nt,4.91,1.0,12.58
580,burg,b?g,5.84,1.46,12.18
581,burn,b?n,9.43,3.45,4.72
582,burned,b?nd,8.96,3.16,4.72
583,burns,b?nz,8.81,3.07,NaN
584,burnt,b?nt,7.8,2.69,4.72
585,burp,b?p,6.14,1.83,4.67
586,burr,b?,6.85,1.56,9.33
587,burrs,b?z,4.89,0.6,9.33
588,burst,b?st,8.76,2.64,7.72
589,bursts,b?sts,7.09,1.77,7.72
590,Burt,b?t,7.4,2.83,NaN
591,bus,b?s,10.49,3.58,3.85
592,bush,b?��,9.3,2.86,4.9
593,bust,b?st,8.03,3.15,9.23
594,busts,b?sts,5.82,1.86,9.23
595,but,b?t,14.57,5.35,4.6
596,butch,b??,7.36,2.52,11.33
597,butt,b?t,9.24,3.29,3.73
598,butte,byut,5.87,1.45,NaN
599,butts,b?ts,7.45,2.47,3.73
600,buy,b?,11.78,3.99,5.56
601,buyer,b??,9.79,2.42,6.94
602,buyers,b??z,8.86,2.09,6.94
603,buys,b?z,8.32,2.56,5.56
604,buzz,b?z,8.23,2.91,7.1
605,buzzed,b?zd,5.74,1.69,7.1
606,by,b?,14.4,4.83,5.41
607,bye,b?,9.1,3.96,3.28
608,cab,k?b,8.13,3.26,6.94
609,cab's,k?bz,2.83,,NaN
610,cabs,k?bz,6.36,2.04,6.94
611,cache,k?��,10.26,1.51,15.05
612,cad,k?d,9.0,1.73,NaN
613,cage,ke?,9.05,3.01,5.06
614,caged,ke?d,5.68,1.92,NaN
615,Cain,ken,7.66,2.35,NaN
616,cake,kek,8.74,3.36,3.26
617,caked,kekt,4.42,1.0,3.26
618,cakes,keks,7.2,2.47,3.26
619,calf,k?f,7.3,2.18,6.63
620,call,k?l,12.4,4.64,4.74
621,called,k?ld,12.14,4.24,4.74
622,calls,k?lz,10.74,3.61,4.74
623,calm,k��m,8.75,3.66,6.26
624,calmed,k��md,6.38,1.93,6.26
625,calve,k?v,3.37,,8.84
626,calves,k?vz,6.88,1.92,6.63
627,cam,k?m,8.25,2.29,9.23
628,came,kem,11.65,4.37,3.32
629,camp,k?mp,9.68,3.42,5.78
630,camp's,k?mps,4.76,,NaN
631,camped,k?mpt,6.04,1.81,5.78
632,camps,k?mps,8.73,2.29,5.78
633,cams,k?mz,6.16,1.38,9.23
634,can,k?n,14.3,5.43,4.32
635,can't,k?nt,12.53,,NaN
636,cane,ken,8.6,2.63,5.74
637,cane's,kenz,3.71,,NaN
638,canned,k?nd,7.79,2.33,7.56
639,cans,k?nz,7.92,2.59,4.32
640,cap,k?p,9.54,2.98,5.53
641,cape,kep,8.6,2.62,6.9
642,capes,keps,4.9,1.23,6.9
643,capped,k?pt,6.18,1.8,5.53
644,caps,k?ps,8.79,2.18,5.53
645,car,k��r,11.37,4.39,3.37
646,car's,k��rz,6.94,,NaN
647,card,k��rd,12.31,3.64,6.2
648,cards,k��rdz,12.37,3.39,6.2
649,care,k?r,11.56,4.39,5.65
650,cared,k?rd,8.1,2.86,5.65
